Timestamp,MachineID,Plant,Temperature,Vibration,Pressure,EnergyConsumption,ProductionUnits,DefectCount,MaintenanceFlag
2025-01-01 00:00:00,140,Plant_C,73.58555813,2.266288946,20.78593679,289.8234291,128,2,0
2025-01-01 01:00:00,115,Plant_A,76.98156249,3.326905129,31.46400461,181.6881384,160,2,0
2025-01-01 02:00:00,145,Plant_C,68.5542171,5.285392426,30.76865944,257.0771008,79,3,0
2025-01-01 03:00:00,108,Plant_C,92.75655771,6.2897767,33.92439556,217.0466522,146,5,1
2025-01-01 04:00:00,122,Plant_C,76.17498127,7.844885902,25.12908509,251.3125215,142,4,0
2025-01-01 05:00:00,143,Plant_A,70.16946215,3.147590674,27.16949084,227.3657526,180,3,0
2025-01-01 06:00:00,118,Plant_B,83.12095904,6.599974963,39.02634577,227.2430542,117,0,0
2025-01-01 07:00:00,111,Plant_C,77.2687585,4.133464128,30.31723838,245.9055481,55,2,0
2025-01-01 08:00:00,140,Plant_C,59.60442723,3.911360195,29.89649542,227.8515441,120,1,0
2025-01-01 09:00:00,107,Plant_C,65.04276462,4.960599242,26.43553133,215.3932746,121,3,0
2025-01-01 10:00:00,134,Plant_C,70.34671416,2.829551218,27.35637377,264.3488727,97,2,0
2025-01-01 11:00:00,149,Plant_C,59.14676992,5.229178773,34.50797477,258.2977224,154,4,0
2025-01-01 12:00:00,131,Plant_B,76.27500952,4.869140974,31.4422467,262.0454546,88,1,0
2025-01-01 13:00:00,111,Plant_B,73.1632295,4.686479284,33.15185465,228.4608162,91,4,0
2025-01-01 14:00:00,121,Plant_B,49.44730175,4.018876232,32.23971282,216.1310883,75,1,0
2025-01-01 15:00:00,147,Plant_B,67.12465073,5.552130832,28.64432464,238.492481,134,6,0
2025-01-01 16:00:00,131,Plant_C,80.57018472,1.999000654,28.26298521,297.6299195,91,3,0
2025-01-01 17:00:00,126,Plant_A,71.21769719,5.047914967,34.80908152,168.2132919,119,2,0
2025-01-01 18:00:00,120,Plant_B,79.40223671,4.054214351,31.34656857,252.3917039,183,2,0
2025-01-01 19:00:00,137,Plant_A,72.66247398,5.683699468,33.59917141,269.2944412,106,6,0
2025-01-01 20:00:00,139,Plant_A,76.06970126,5.990126832,31.01617644,268.0529657,146,4,0
2025-01-01 21:00:00,103,Plant_A,71.32890072,7.156996062,33.57706191,322.6143769,92,0,0
2025-01-01 22:00:00,138,Plant_C,70.40607637,6.467809299,32.54519006,290.8412014,73,3,0
2025-01-01 23:00:00,104,Plant_B,84.97668896,4.004278644,30.14786753,236.1689192,182,2,0
2025-01-02 00:00:00,142,Plant_C,58.00255147,5.477701999,38.56118693,237.5354664,78,3,0
2025-01-02 01:00:00,143,Plant_A,83.25668702,4.601570068,35.09320073,245.5679508,103,5,0
2025-01-02 02:00:00,139,Plant_A,72.15392584,7.031660957,22.74534991,211.9889203,155,2,0
2025-01-02 03:00:00,138,Plant_B,61.6844478,4.641191331,24.4224244,312.5979448,105,2,0
2025-01-02 04:00:00,142,Plant_B,67.31813623,6.681156341,22.97312646,298.7985002,153,3,0
2025-01-02 05:00:00,133,Plant_B,86.15503795,7.26876155,39.46279453,286.3756543,156,3,0
2025-01-02 06:00:00,103,Plant_C,71.40337117,6.239837472,27.7778075,247.7938414,175,3,0
2025-01-02 07:00:00,105,Plant_B,85.4961788,3.241536023,27.02712538,238.3017555,186,3,0
2025-01-02 08:00:00,124,Plant_B,71.67495346,5.49157248,26.2031702,223.0081603,150,2,0
2025-01-02 09:00:00,104,Plant_A,83.5222245,4.054973585,31.46655745,262.754528,132,7,0
2025-01-02 10:00:00,146,Plant_B,68.07937228,5.191703162,26.26004937,302.5085723,104,4,0
2025-01-02 11:00:00,106,Plant_A,75.47024799,6.095306961,34.64073033,220.4476094,141,1,0
2025-01-02 12:00:00,131,Plant_C,77.28618954,5.639293082,36.90716835,229.7367053,80,2,0
2025-01-02 13:00:00,119,Plant_B,62.52828473,2.976843099,22.01693681,213.1553791,181,4,1
2025-01-02 14:00:00,131,Plant_B,81.16387761,4.855485724,39.03192441,252.1498742,66,1,0
2025-01-02 15:00:00,102,Plant_C,66.97221217,4.766760356,25.51166235,224.2074254,50,6,0
2025-01-02 16:00:00,116,Plant_A,58.3366869,5.152642251,31.05751801,192.6572777,162,5,0
2025-01-02 17:00:00,146,Plant_B,82.19064959,5.727592287,27.00674307,230.1744206,192,10,0
2025-01-02 18:00:00,112,Plant_C,79.440846,5.705573772,25.21511856,258.6995501,189,2,0
2025-01-02 19:00:00,104,Plant_B,68.49707792,6.931655952,36.37926605,239.7289448,199,1,0
2025-01-02 20:00:00,126,Plant_B,75.44630029,2.648185221,22.4546489,241.0437077,89,2,0
2025-01-02 21:00:00,115,Plant_A,67.89315774,4.09537465,31.01223406,256.9702492,190,3,0
2025-01-02 22:00:00,149,Plant_A,62.60993272,4.184923509,29.03440656,311.0539528,73,5,0
2025-01-02 23:00:00,139,Plant_C,51.52547143,4.770234202,28.49427683,219.9804697,191,5,0
2025-01-03 00:00:00,146,Plant_A,81.83033639,2.861520174,29.16692884,215.1261251,66,4,0
2025-01-03 01:00:00,108,Plant_C,77.62245968,3.803397642,31.2104823,311.690696,171,1,0
2025-01-03 02:00:00,145,Plant_C,75.3640787,5.652915307,19.83638896,236.530011,120,7,0
2025-01-03 03:00:00,115,Plant_C,65.89847058,2.565100456,29.11906316,232.4922158,50,2,0
2025-01-03 04:00:00,141,Plant_A,66.88938025,5.059089532,42.28187144,257.3376637,100,7,0
2025-01-03 05:00:00,145,Plant_B,64.4838121,3.467555844,41.41181014,240.0440939,67,1,0
2025-01-03 06:00:00,108,Plant_C,63.79885522,5.052070785,24.90498588,225.3886894,149,2,0
2025-01-03 07:00:00,117,Plant_A,65.44334676,6.595439965,20.5698793,304.2790046,182,3,1
2025-01-03 08:00:00,122,Plant_B,62.71052423,5.123152239,30.10198804,256.9667005,195,7,0
2025-01-03 09:00:00,109,Plant_B,67.41356127,5.561048343,35.82063511,287.4906475,100,2,1
2025-01-03 10:00:00,141,Plant_A,72.51313079,3.394149459,26.22273323,283.9233864,156,2,0
2025-01-03 11:00:00,146,Plant_A,82.05548867,6.496305792,21.3928917,274.0801811,174,3,0
2025-01-03 12:00:00,126,Plant_A,51.03170842,2.20586879,28.18653505,210.9014753,184,0,0
2025-01-03 13:00:00,119,Plant_B,67.32824437,6.638604989,33.40965811,255.6609194,193,4,1
2025-01-03 14:00:00,132,Plant_B,60.46003123,4.245888835,33.34794335,299.5287566,129,2,0
2025-01-03 15:00:00,143,Plant_A,76.2064832,7.907178091,25.18410457,194.6203088,132,0,0
2025-01-03 16:00:00,132,Plant_A,72.86675887,2.888872576,24.16045632,319.9225063,145,6,0
2025-01-03 17:00:00,126,Plant_B,62.57359406,6.154355094,30.37260709,285.176472,82,4,0
2025-01-03 18:00:00,108,Plant_C,61.45823604,4.922093403,28.2824868,234.9714405,176,3,0
2025-01-03 19:00:00,112,Plant_A,61.40909826,6.21739369,27.34648525,303.0452942,173,5,0
2025-01-03 20:00:00,110,Plant_B,69.90296881,5.972809439,26.09629715,226.6259219,135,2,0
2025-01-03 21:00:00,140,Plant_A,84.86626702,4.104663596,28.91732142,282.3024049,115,1,0
